ItemID,Weight,Size,Fragility,storedIn,DestinationWarehouse
Item_71,38.76,1.53,Low,Pallet,Warehouse_A
Item_72,0.38,3.89,Low,Bin,Warehouse_C
Item_73,21.18,3.11,Medium,Pallet,Warehouse_A
Item_74,17.53,2.79,Low,Pallet,Warehouse_A
Item_75,13.19,3.23,Low,Shelf,Warehouse_B
Item_76,11.72,2.11,Low,Pallet,Warehouse_A
Item_77,34.04,2.37,Low,Shelf,Warehouse_B
Item_78,3.14,1.82,Low,Shelf,Warehouse_C
Item_79,8.0,3.91,Low,Shelf,Warehouse_C
Item_80,17.97,1.05,Low,Bin,Warehouse_A
Item_81,18.73,1.43,Low,Bin,Warehouse_A
Item_82,5.89,2.47,Low,Bin,Warehouse_A
Item_83,48.68,1.83,Low,Pallet,Warehouse_A
Item_84,37.96,0.63,Medium,Bin,Warehouse_A
Item_85,7.91,0.33,High,Bin,Warehouse_A
Item_86,23.35,2.21,High,Pallet,Warehouse_A
Item_87,35.13,1.71,Medium,Bin,Warehouse_A
Item_88,48.63,0.48,Low,Shelf,Warehouse_B
Item_89,7.21,3.53,Medium,Shelf,Warehouse_C
Item_90,9.64,1.43,Medium,Bin,Warehouse_A
Item_91,5.67,0.56,Medium,Pallet,Warehouse_A
Item_92,1.9,0.8,Low,Shelf,Warehouse_C
Item_93,27.18,1.24,Low,Bin,Warehouse_A
Item_94,31.58,4.92,Low,Pallet,Warehouse_A
Item_95,6.62,0.36,Medium,Pallet,Warehouse_A
Item_96,45.64,1.52,Medium,Bin,Warehouse_A
Item_97,31.71,3.13,High,Pallet,Warehouse_A
Item_98,11.52,2.73,Medium,Pallet,Warehouse_A
Item_99,44.54,3.1,Medium,Pallet,Warehouse_A
Item_100,44.9,0.98,Low,Pallet,Warehouse_A
Item_101,12.87,1.57,Medium,Pallet,Warehouse_A
Item_102,8.39,2.7,Medium,Pallet,Warehouse_A
Item_103,21.08,0.73,Low,Bin,Warehouse_A
Item_104,26.83,1.77,Medium,Bin,Warehouse_A
Item_105,38.08,4.74,High,Bin,Warehouse_A
Item_106,28.76,3.47,Medium,Shelf,Warehouse_B
Item_107,46.99,2.76,Medium,Shelf,Warehouse_B
Item_108,19.91,1.88,Medium,Bin,Warehouse_A
Item_109,28.29,4.38,Low,Pallet,Warehouse_A
Item_110,46.36,2.09,Low,Bin,Warehouse_A
Item_111,19.09,1.34,Low,Bin,Warehouse_A
Item_112,14.22,1.62,Medium,Bin,Warehouse_A
Item_113,45.74,2.05,Low,Shelf,Warehouse_B
Item_114,17.48,4.53,Medium,Shelf,Warehouse_B
Item_115,0.52,1.66,Low,Shelf,Warehouse_C
Item_116,9.22,3.38,High,Shelf,Warehouse_C
Item_117,48.16,4.46,Low,Bin,Warehouse_A
Item_118,29.04,1.95,Medium,Shelf,Warehouse_B
Item_119,4.92,3.61,Low,Shelf,Warehouse_C
Item_120,15.66,3.85,High,Pallet,Warehouse_A
Item_121,25.6,2.14,Medium,Shelf,Warehouse_B
Item_122,41.74,1.48,Low,Pallet,Warehouse_A
Item_123,39.49,4.72,Low,Pallet,Warehouse_A
Item_124,10.83,1.89,Medium,Bin,Warehouse_A
Item_125,7.11,3.81,Low,Pallet,Warehouse_A
Item_126,8.48,1.31,Medium,Bin,Warehouse_A
Item_127,43.13,4.87,High,Shelf,Warehouse_B
Item_128,41.93,3.8,Low,Pallet,Warehouse_A
Item_129,2.33,3.87,Medium,Pallet,Warehouse_A
Item_130,1.31,3.64,Low,Bin,Warehouse_C
Item_131,5.33,4.04,High,Pallet,Warehouse_A
Item_132,23.42,3.02,Medium,Shelf,Warehouse_B
Item_133,24.63,4.21,Medium,Bin,Warehouse_A
Item_134,9.52,2.98,Medium,Shelf,Warehouse_C
Item_135,13.51,1.07,Low,Bin,Warehouse_A
Item_136,23.56,4.59,Low,Pallet,Warehouse_A
Item_137,4.68,3.99,Low,Shelf,Warehouse_C
Item_138,36.12,2.53,Medium,Pallet,Warehouse_A
Item_139,43.24,3.25,Low,Pallet,Warehouse_A
Item_140,36.76,4.57,Low,Shelf,Warehouse_B
Item_141,3.06,2.16,Medium,Bin,Warehouse_C
Item_142,15.41,4.0,Medium,Pallet,Warehouse_A
Item_143,8.36,3.53,Low,Pallet,Warehouse_A
Item_144,13.0,4.88,Low,Shelf,Warehouse_B
Item_145,0.38,0.79,Low,Bin,Warehouse_C
Item_146,5.88,1.32,Medium,Pallet,Warehouse_A
Item_147,7.65,3.7,Low,Shelf,Warehouse_C
Item_148,48.02,2.42,Low,Shelf,Warehouse_B
Item_149,5.84,3.9,Low,Pallet,Warehouse_A
Item_150,46.95,0.26,Medium,Pallet,Warehouse_A
Item_151,25.64,0.66,Medium,Shelf,Warehouse_B
Item_152,22.31,1.19,Low,Pallet,Warehouse_A
Item_153,6.28,1.75,Medium,Pallet,Warehouse_A
Item_154,8.07,3.2,Medium,Shelf,Warehouse_C
Item_155,8.05,3.21,Medium,Bin,Warehouse_A
Item_156,13.49,1.85,Low,Shelf,Warehouse_B
Item_157,46.2,3.66,Low,Bin,Warehouse_A
Item_158,7.67,0.89,Low,Shelf,Warehouse_C
Item_159,0.4,3.17,Low,Shelf,Warehouse_C
Item_160,3.76,2.86,Medium,Shelf,Warehouse_C
Item_161,21.92,1.32,Low,Bin,Warehouse_A
Item_162,33.99,4.15,Medium,Shelf,Warehouse_B
Item_163,0.11,3.1,Medium,Bin,Warehouse_C
Item_164,13.23,4.91,Medium,Bin,Warehouse_A
Item_165,10.36,4.69,Low,Bin,Warehouse_A
Item_166,34.94,1.22,Low,Bin,Warehouse_A
Item_167,1.34,3.96,Medium,Shelf,Warehouse_C
Item_168,0.27,2.08,Medium,Bin,Warehouse_C
Item_169,21.33,2.48,Low,Bin,Warehouse_A
Item_170,31.83,0.72,Medium,Shelf,Warehouse_B
Item_171,4.01,4.97,Low,Shelf,Warehouse_C
Item_172,34.5,0.88,Low,Shelf,Warehouse_B
Item_173,7.52,3.35,Low,Pallet,Warehouse_A
Item_174,23.13,4.26,Low,Shelf,Warehouse_B
Item_175,28.83,4.92,Low,Pallet,Warehouse_A
Item_176,7.84,4.34,Low,Shelf,Warehouse_C
Item_177,43.05,3.05,Low,Shelf,Warehouse_B
Item_178,38.03,3.57,Medium,Pallet,Warehouse_A
Item_179,23.0,3.54,Low,Shelf,Warehouse_B
Item_180,23.57,2.48,Low,Shelf,Warehouse_B
Item_181,5.2,0.69,Low,Bin,Warehouse_A
Item_182,24.68,3.87,Low,Bin,Warehouse_A
Item_183,30.01,0.47,Low,Pallet,Warehouse_A
Item_184,5.24,3.18,Low,Pallet,Warehouse_A
Item_185,8.35,0.54,Medium,Shelf,Warehouse_C
Item_186,11.56,2.07,Medium,Shelf,Warehouse_B
Item_187,25.43,4.93,Low,Pallet,Warehouse_A
Item_188,19.67,1.5,Low,Bin,Warehouse_A
Item_189,31.71,0.22,Low,Shelf,Warehouse_B
Item_190,12.15,3.34,Medium,Bin,Warehouse_A
Item_191,17.2,4.26,Low,Shelf,Warehouse_B
Item_192,37.26,1.71,Medium,Shelf,Warehouse_B
Item_193,49.56,1.45,Low,Shelf,Warehouse_B
Item_194,37.91,1.29,Low,Shelf,Warehouse_B
Item_195,44.19,3.97,Low,Pallet,Warehouse_A
Item_196,23.91,3.54,Low,Shelf,Warehouse_B
Item_197,14.55,4.98,Low,Shelf,Warehouse_B
Item_198,1.07,1.51,Medium,Pallet,Warehouse_A
Item_199,8.95,1.77,Low,Bin,Warehouse_A
Item_200,25.83,0.71,Low,Shelf,Warehouse_B
Item_201,45.44,1.24,High,Shelf,Warehouse_B
Item_202,19.61,3.42,Medium,Shelf,Warehouse_B
Item_203,9.9,3.81,Low,Shelf,Warehouse_C
Item_204,46.53,4.49,Low,Bin,Warehouse_A
Item_205,8.28,1.31,Low,Pallet,Warehouse_A
Item_206,2.24,1.43,Low,Pallet,Warehouse_A
Item_207,16.05,1.93,Low,Pallet,Warehouse_A
Item_208,26.54,0.78,Low,Bin,Warehouse_A
Item_209,17.07,2.37,Medium,Bin,Warehouse_A
Item_210,4.32,0.53,Low,Pallet,Warehouse_A
Item_211,0.35,3.67,Low,Pallet,Warehouse_A
Item_212,10.27,4.96,Medium,Pallet,Warehouse_A
Item_213,23.49,3.16,Low,Bin,Warehouse_A
Item_214,21.73,3.99,Low,Bin,Warehouse_A
Item_215,20.61,0.2,High,Pallet,Warehouse_A
Item_216,23.46,1.9,High,Shelf,Warehouse_B
Item_217,34.96,4.16,Low,Shelf,Warehouse_B
Item_218,3.89,3.29,Low,Shelf,Warehouse_C
Item_219,31.92,2.0,Low,Bin,Warehouse_A
Item_220,21.79,3.38,Medium,Pallet,Warehouse_A
Item_221,8.68,2.48,High,Shelf,Warehouse_C
Item_222,10.0,1.53,Low,Bin,Warehouse_A
Item_223,29.41,3.01,Low,Pallet,Warehouse_A
Item_224,18.35,0.94,Low,Shelf,Warehouse_B
Item_225,28.17,0.1,Low,Shelf,Warehouse_B
Item_226,6.34,4.15,Low,Pallet,Warehouse_A
Item_227,12.09,2.14,Medium,Bin,Warehouse_A
Item_228,7.23,0.81,Low,Bin,Warehouse_A
Item_229,36.11,2.05,Low,Pallet,Warehouse_A
Item_230,47.8,0.48,High,Pallet,Warehouse_A
Item_231,35.56,0.87,Low,Shelf,Warehouse_B
Item_232,16.25,4.56,Medium,Shelf,Warehouse_B
Item_233,41.0,2.56,Low,Pallet,Warehouse_A
Item_234,16.53,0.88,Low,Bin,Warehouse_A
Item_235,9.55,3.71,Low,Bin,Warehouse_A
Item_236,16.95,4.95,Low,Shelf,Warehouse_B
Item_237,1.75,4.45,Medium,Shelf,Warehouse_C
Item_238,44.61,1.13,Low,Pallet,Warehouse_A
Item_239,38.95,3.03,Low,Pallet,Warehouse_A
Item_240,15.96,3.15,Medium,Pallet,Warehouse_A
Item_241,3.19,1.86,Low,Shelf,Warehouse_C
Item_242,36.31,4.45,Medium,Pallet,Warehouse_A
Item_243,5.67,2.38,Low,Shelf,Warehouse_C
Item_244,15.4,2.55,Medium,Bin,Warehouse_A
Item_245,41.61,1.73,Low,Pallet,Warehouse_A
Item_246,24.12,1.14,Low,Shelf,Warehouse_B
Item_247,4.15,2.6,High,Pallet,Warehouse_A
Item_248,37.86,4.19,Low,Shelf,Warehouse_B
Item_249,30.14,1.34,Low,Pallet,Warehouse_A
Item_250,13.43,4.9,Medium,Pallet,Warehouse_A
Item_251,25.63,3.94,Low,Shelf,Warehouse_B
Item_252,28.11,1.94,Medium,Bin,Warehouse_A
Item_253,13.26,2.02,Low,Bin,Warehouse_A
Item_254,4.18,4.74,Low,Bin,Warehouse_C
Item_255,11.84,1.69,Low,Pallet,Warehouse_A
Item_256,5.06,0.34,Low,Pallet,Warehouse_A
Item_257,49.97,3.49,Low,Bin,Warehouse_A
Item_258,5.74,1.34,Low,Bin,Warehouse_A
Item_259,37.56,0.72,Medium,Pallet,Warehouse_A
Item_260,42.97,1.76,Low,Shelf,Warehouse_B
Item_261,37.45,2.0,Low,Shelf,Warehouse_B
Item_262,35.9,2.08,Low,Pallet,Warehouse_A
Item_263,26.46,1.77,Low,Bin,Warehouse_A
Item_264,12.46,4.32,Medium,Shelf,Warehouse_B
Item_265,18.37,2.61,Medium,Pallet,Warehouse_A
Item_266,18.5,1.41,Medium,Pallet,Warehouse_A
Item_267,45.18,1.3,Low,Shelf,Warehouse_B
Item_268,17.68,3.35,Medium,Pallet,Warehouse_A
Item_269,35.72,4.24,Low,Bin,Warehouse_A
Item_270,31.57,1.23,Low,Pallet,Warehouse_A
Item_271,17.09,3.51,Medium,Shelf,Warehouse_B
Item_272,20.42,3.57,Medium,Shelf,Warehouse_B
Item_273,14.0,1.08,Low,Bin,Warehouse_A
Item_274,1.17,4.8,Medium,Pallet,Warehouse_A
Item_275,27.24,2.3,Medium,Bin,Warehouse_A
Item_276,33.2,2.79,Low,Bin,Warehouse_A
Item_277,45.17,3.28,Low,Shelf,Warehouse_B
Item_278,26.78,3.43,High,Bin,Warehouse_A
Item_279,0.48,2.48,Medium,Bin,Warehouse_C
Item_280,7.42,1.36,Low,Pallet,Warehouse_A
Item_281,29.51,0.45,Medium,Shelf,Warehouse_B
Item_282,26.31,3.86,Low,Bin,Warehouse_A
Item_283,48.37,4.58,Low,Bin,Warehouse_A
Item_284,22.85,2.75,Medium,Shelf,Warehouse_B
Item_285,0.21,2.65,Medium,Bin,Warehouse_C
Item_286,9.07,0.41,Medium,Shelf,Warehouse_C
Item_287,37.4,4.88,High,Pallet,Warehouse_A
Item_288,35.3,0.63,Low,Shelf,Warehouse_B
Item_289,17.59,2.1,Low,Shelf,Warehouse_B
Item_290,31.5,1.7,Medium,Bin,Warehouse_A
Item_291,17.4,2.91,Low,Pallet,Warehouse_A
Item_292,1.87,4.53,Low,Shelf,Warehouse_C
Item_293,29.21,4.53,Low,Bin,Warehouse_A
Item_294,28.41,2.96,High,Bin,Warehouse_A
Item_295,41.08,4.81,Low,Bin,Warehouse_A
Item_296,34.16,0.59,Low,Shelf,Warehouse_B
Item_297,41.28,3.05,Low,Bin,Warehouse_A
Item_298,20.6,3.16,Low,Pallet,Warehouse_A
Item_299,11.19,2.15,Medium,Shelf,Warehouse_B
Item_300,19.81,0.45,Low,Shelf,Warehouse_B
Item_301,49.66,3.12,Low,Shelf,Warehouse_B
Item_302,3.73,0.37,Low,Shelf,Warehouse_C
Item_303,34.01,0.46,Medium,Pallet,Warehouse_A
Item_304,6.37,1.97,Low,Bin,Warehouse_A
Item_305,26.08,1.84,Low,Pallet,Warehouse_A
Item_306,3.15,4.38,Low,Bin,Warehouse_C
Item_307,13.1,4.5,Low,Bin,Warehouse_A
Item_308,27.18,3.85,High,Bin,Warehouse_A
Item_309,22.49,2.94,Medium,Bin,Warehouse_A
Item_310,30.73,0.7,Low,Bin,Warehouse_A
Item_311,43.18,3.73,Low,Shelf,Warehouse_B
Item_312,25.32,1.53,Low,Bin,Warehouse_A
Item_313,37.58,2.49,Low,Shelf,Warehouse_B
Item_314,27.16,2.05,Low,Pallet,Warehouse_A
Item_315,12.8,0.8,Medium,Pallet,Warehouse_A
Item_316,42.94,2.34,Low,Pallet,Warehouse_A
Item_317,15.73,2.25,Low,Pallet,Warehouse_A
Item_318,38.04,4.0,Low,Bin,Warehouse_A
Item_319,5.97,3.38,Low,Shelf,Warehouse_C
Item_320,18.03,0.36,Low,Pallet,Warehouse_A
Item_321,20.38,4.16,Low,Bin,Warehouse_A
Item_322,39.17,2.64,Low,Shelf,Warehouse_B
Item_323,8.54,3.92,Low,Shelf,Warehouse_C
Item_324,31.73,2.24,Medium,Pallet,Warehouse_A
Item_325,8.19,2.05,Medium,Bin,Warehouse_A
Item_326,46.55,0.86,Low,Shelf,Warehouse_B
Item_327,4.87,3.44,Low,Shelf,Warehouse_C
Item_328,41.5,2.04,Medium,Pallet,Warehouse_A
Item_329,23.81,4.44,Low,Pallet,Warehouse_A
Item_330,33.66,2.06,Low,Bin,Warehouse_A
Item_331,46.52,4.74,Low,Shelf,Warehouse_B
Item_332,16.04,2.71,Medium,Pallet,Warehouse_A
Item_333,29.31,1.54,High,Pallet,Warehouse_A
Item_334,37.74,0.88,Low,Pallet,Warehouse_A
Item_335,39.98,3.03,Low,Pallet,Warehouse_A
Item_336,37.3,1.62,Low,Bin,Warehouse_A
Item_337,9.98,0.89,Low,Shelf,Warehouse_C
Item_338,17.06,2.22,Low,Bin,Warehouse_A
Item_339,34.85,3.46,Low,Pallet,Warehouse_A
Item_340,9.18,4.26,High,Bin,Warehouse_A
Item_341,48.65,4.34,Low,Bin,Warehouse_A
Item_342,9.62,2.78,Low,Bin,Warehouse_A
Item_343,7.9,2.45,Low,Bin,Warehouse_A
Item_344,7.64,1.04,Low,Shelf,Warehouse_C
Item_345,31.81,3.65,Low,Pallet,Warehouse_A
Item_346,45.89,0.83,Low,Pallet,Warehouse_A
Item_347,42.33,3.98,Medium,Bin,Warehouse_A
Item_348,1.51,2.71,Low,Pallet,Warehouse_A
Item_349,13.3,3.51,Low,Pallet,Warehouse_A
Item_350,8.66,4.99,Low,Bin,Warehouse_A
Item_351,41.88,3.55,Low,Pallet,Warehouse_A
Item_352,40.09,2.65,High,Bin,Warehouse_A
Item_353,30.4,1.91,Low,Shelf,Warehouse_B
Item_354,1.48,0.19,Medium,Shelf,Warehouse_C
Item_355,9.91,1.35,High,Bin,Warehouse_A
Item_356,28.72,4.61,Medium,Pallet,Warehouse_A
Item_357,14.95,3.62,Medium,Pallet,Warehouse_A
Item_358,48.15,0.57,High,Bin,Warehouse_A
Item_359,24.55,3.41,Low,Shelf,Warehouse_B
Item_360,31.71,2.51,Low,Pallet,Warehouse_A
Item_361,35.82,4.46,Medium,Shelf,Warehouse_B
Item_362,34.85,3.88,Medium,Pallet,Warehouse_A
Item_363,5.73,4.85,Low,Shelf,Warehouse_C
Item_364,47.44,4.21,High,Pallet,Warehouse_A
Item_365,30.15,3.07,Medium,Pallet,Warehouse_A
Item_366,29.53,1.49,High,Shelf,Warehouse_B
Item_367,32.55,1.65,Low,Shelf,Warehouse_B
Item_368,49.15,4.2,Low,Pallet,Warehouse_A
Item_369,35.88,2.28,High,Pallet,Warehouse_A
Item_370,1.16,1.88,High,Pallet,Warehouse_A
Item_371,0.2,2.73,Low,Bin,Warehouse_C
Item_372,36.74,1.01,Low,Bin,Warehouse_A
Item_373,3.37,4.53,Medium,Pallet,Warehouse_A
Item_374,44.67,0.3,Low,Bin,Warehouse_A
Item_375,4.2,4.58,Low,Pallet,Warehouse_A
Item_376,40.41,4.89,Low,Pallet,Warehouse_A
Item_377,8.42,0.53,Low,Pallet,Warehouse_A
Item_378,35.02,0.85,Medium,Bin,Warehouse_A
Item_379,10.36,1.95,Medium,Shelf,Warehouse_B
Item_380,41.09,3.74,Medium,Pallet,Warehouse_A
Item_381,2.94,2.46,Low,Bin,Warehouse_C
Item_382,44.28,1.09,High,Shelf,Warehouse_B
Item_383,44.09,4.04,Medium,Bin,Warehouse_A
Item_384,49.1,1.5,Low,Shelf,Warehouse_B
Item_385,21.27,1.48,Medium,Pallet,Warehouse_A
Item_386,8.48,3.94,Low,Pallet,Warehouse_A
Item_387,9.99,4.32,Medium,Shelf,Warehouse_C
Item_388,12.26,4.38,Low,Shelf,Warehouse_B
Item_389,41.38,2.5,Medium,Bin,Warehouse_A
Item_390,38.39,4.83,Low,Pallet,Warehouse_A
Item_391,40.22,2.24,Low,Pallet,Warehouse_A
Item_392,42.49,3.5,Low,Shelf,Warehouse_B
Item_393,10.14,1.72,Low,Pallet,Warehouse_A
Item_394,9.72,0.35,Low,Bin,Warehouse_A
Item_395,36.72,4.32,Low,Shelf,Warehouse_B
Item_396,0.11,1.93,Low,Shelf,Warehouse_C
Item_397,10.88,2.66,High,Shelf,Warehouse_B
Item_398,2.77,3.02,Low,Bin,Warehouse_C
Item_399,1.37,3.49,Low,Bin,Warehouse_C
Item_400,45.11,2.99,Low,Shelf,Warehouse_B
Item_401,27.31,2.71,High,Bin,Warehouse_A
Item_402,16.05,1.85,Low,Shelf,Warehouse_B
Item_403,47.51,0.57,Medium,Pallet,Warehouse_A
Item_404,29.65,0.65,Low,Bin,Warehouse_A
Item_405,10.28,1.75,Low,Bin,Warehouse_A
Item_406,49.8,4.4,High,Pallet,Warehouse_A
Item_407,20.03,3.94,Low,Pallet,Warehouse_A
Item_408,11.72,3.93,Medium,Pallet,Warehouse_A
Item_409,38.2,4.51,Low,Shelf,Warehouse_B
Item_410,8.53,0.29,Low,Bin,Warehouse_A
Item_411,4.5,1.76,Medium,Pallet,Warehouse_A
Item_412,10.48,1.12,Low,Pallet,Warehouse_A
Item_413,0.72,2.31,Medium,Shelf,Warehouse_C
Item_414,37.37,3.74,Low,Shelf,Warehouse_B
Item_415,8.69,4.91,Low,Bin,Warehouse_A
Item_416,32.65,2.66,Medium,Bin,Warehouse_A
Item_417,9.6,0.82,Low,Bin,Warehouse_A
Item_418,46.45,4.09,Medium,Pallet,Warehouse_A
Item_419,33.08,2.52,Medium,Bin,Warehouse_A
Item_420,34.49,2.0,Low,Pallet,Warehouse_A
Item_421,11.68,2.84,Low,Bin,Warehouse_A
Item_422,42.39,4.19,Low,Bin,Warehouse_A
Item_423,38.63,0.57,Medium,Pallet,Warehouse_A
Item_424,45.13,3.89,High,Bin,Warehouse_A
Item_425,39.89,0.93,Low,Pallet,Warehouse_A
Item_426,8.14,1.96,High,Bin,Warehouse_A
Item_427,24.25,0.15,Low,Bin,Warehouse_A
Item_428,22.83,2.7,Low,Pallet,Warehouse_A
Item_429,15.76,0.67,Low,Bin,Warehouse_A
Item_430,30.65,3.89,Medium,Shelf,Warehouse_B
Item_431,36.06,1.96,Low,Pallet,Warehouse_A
Item_432,4.78,1.34,Low,Shelf,Warehouse_C
Item_433,37.08,2.8,Low,Bin,Warehouse_A
Item_434,42.95,3.45,Low,Pallet,Warehouse_A
Item_435,1.05,0.38,Low,Bin,Warehouse_C
Item_436,4.24,4.74,Low,Pallet,Warehouse_A
Item_437,27.55,4.96,High,Pallet,Warehouse_A
Item_438,41.09,1.94,Medium,Pallet,Warehouse_A
Item_439,31.82,3.62,Low,Bin,Warehouse_A
Item_440,37.08,3.53,Low,Pallet,Warehouse_A
Item_441,4.96,3.61,Medium,Bin,Warehouse_C
Item_442,21.29,4.81,Medium,Bin,Warehouse_A
Item_443,36.26,3.13,Low,Pallet,Warehouse_A
Item_444,15.32,3.59,Low,Shelf,Warehouse_B
Item_445,44.61,3.31,High,Pallet,Warehouse_A
Item_446,7.9,1.68,Medium,Bin,Warehouse_A
Item_447,3.03,3.27,Low,Shelf,Warehouse_C
Item_448,17.6,0.29,Low,Bin,Warehouse_A
Item_449,39.15,2.46,Low,Bin,Warehouse_A
Item_450,27.6,3.34,Low,Pallet,Warehouse_A
Item_451,25.54,0.21,Low,Pallet,Warehouse_A
Item_452,5.97,1.07,Low,Pallet,Warehouse_A
Item_453,19.57,3.48,Low,Pallet,Warehouse_A
Item_454,9.48,0.6,Low,Shelf,Warehouse_C
Item_455,30.79,1.56,Low,Shelf,Warehouse_B
Item_456,43.6,3.74,Medium,Shelf,Warehouse_B
Item_457,23.89,2.92,Medium,Shelf,Warehouse_B
Item_458,11.24,1.15,Low,Shelf,Warehouse_B
Item_459,12.92,4.37,Medium,Shelf,Warehouse_B
Item_460,38.88,4.72,Medium,Bin,Warehouse_A
Item_461,47.05,2.81,Medium,Shelf,Warehouse_B
Item_462,33.33,4.41,Medium,Bin,Warehouse_A
Item_463,35.7,3.39,Medium,Shelf,Warehouse_B
Item_464,32.5,2.72,Low,Pallet,Warehouse_A
Item_465,0.53,2.92,Low,Bin,Warehouse_C
Item_466,34.33,0.11,Low,Shelf,Warehouse_B
Item_467,9.07,3.88,Low,Bin,Warehouse_A
Item_468,0.66,4.84,Medium,Shelf,Warehouse_C
Item_469,39.14,3.39,Low,Bin,Warehouse_A
Item_470,46.16,2.14,Low,Bin,Warehouse_A
Item_471,31.45,4.46,Low,Shelf,Warehouse_B
Item_472,22.64,1.86,High,Bin,Warehouse_A
Item_473,36.27,3.6,Low,Bin,Warehouse_A
Item_474,45.46,1.02,Low,Bin,Warehouse_A
Item_475,0.2,4.92,Low,Bin,Warehouse_C
Item_476,35.79,0.6,Low,Pallet,Warehouse_A
Item_477,5.58,2.88,Low,Pallet,Warehouse_A
Item_478,23.65,3.04,Medium,Bin,Warehouse_A
Item_479,14.96,3.45,High,Bin,Warehouse_A
Item_480,18.16,2.35,Low,Shelf,Warehouse_B
Item_481,22.74,4.47,Low,Bin,Warehouse_A
Item_482,4.77,2.67,Low,Pallet,Warehouse_A
